ID,Задача,Ответственный,Статус,Материал
T01,Предметная область и права,Ковалишин,Готово в комплекте,docs/usecase.svg
T02,Карта историй и UML,Ковалишин,Готово в комплекте,docs/storymap.svg; docs/uml.svg
T03,Макеты и адаптивная вёрстка,Карпенко,Готово в комплекте,frontend/
T04,Формы и интеграция REST,Карпенко,Готово в комплекте,frontend/app.js
T05,База и API,Левашев,Готово в комплекте,backend/
T06,Тесты правил заказа,Левашев,Готово в комплекте,tests/test_api.py
T07,Общий отчёт и материалы защиты,Васильев,Готово в комплекте,Файлы рядом с проектом
T08,Проверить ФИО и реквизиты,Васильев,Проверить командой,Титульные листы
T09,Повторить запуск на компьютере защиты,Карпенко и Левашев,Проверить командой,README.md
T10,Реальные пользовательские сессии,Ковалишин,Проверить командой,docs/user-testing.md
T11,Публикация в GitHub,Васильев,Готово в комплекте,https://github.com/arsulken/restaurant-teply-stol
T12,Перенос доски в командный сервис,Васильев,Внешние действия,docs/tasks.csv
T13,Загрузка отчёта в СДО,Васильев,Внешние действия,После проверки командой
